code,description,emergency,year
M80-M94,Osteopathies and chondropathies,23834.0,2019-20
M95-M99,Other disorders of the musculoskeletal system & conn. tiss.,6554.0,2019-20
N00-N08,Glomerular diseases,3563.0,2019-20
N10-N16,Renal tubulo-interstitial diseases,56724.0,2019-20
N17-N19,Renal failure,60597.0,2019-20
N20-N23,Urolithiasis,33625.0,2019-20
N25-N29,Other disorders of kidney & ureter,1810.0,2019-20
N30-N39,Other diseases of the urinary system,161477.0,2019-20
N60-N64,Disorders of breast,6947.0,2019-20
N99-N99,Other disorders of the genitourinary system,1893.0,2019-20
O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, chil",864.0,2019-20
O80-O84,Delivery,236.0,2019-20
O85-O92,Complications predominantly related to the puerperium,3961.0,2019-20
O94-O99,"Other obstetric conditions, not elsewhere classified",4711.0,2019-20
P00-P04,Fetus and newborn affected by maternal factors and by complication,1.0,2019-20
P05-P08,Disorders related to length of gestation and fetal growth,1377.0,2019-20
P10-P15,Birth trauma,516.0,2019-20
P20-P29,Respiratory and cardiovascular disorders specific to the perinatal,6366.0,2019-20
P35-P39,Infections specific to the perinatal period,6395.0,2019-20
P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,21203.0,2019-20
P70-P78,Transitory endocrine and metabolic disorders specific to fetus and,604.0,2019-20
P75-P78,Digestive system disorders of fetus and newborn,3724.0,2019-20
P80-P83,Conditions involving the integument and temperature regulation of,1934.0,2019-20
P90-P96,Other disorders originating in the perinatal period,9777.0,2019-20
Q00-Q07,Congenital malformations of the nervous system,618.0,2019-20
Q10-Q18,"Congenital malformations of eye, ear, face and neck",320.0,2019-20
Q20-Q28,Congenital malformations of the circulatory system,2036.0,2019-20
Q30-Q34,Congenital malformations of the respiratory system,1128.0,2019-20
Q35-Q37,Cleft lip and cleft palate,74.0,2019-20
Q38-Q45,Other congenital malformations of the digestive system,2433.0,2019-20
Q50-Q56,Congenital malformations of genital organs,1742.0,2019-20
Q60-Q64,Congenital malformations of the urinary system,602.0,2019-20
Q65-Q79,Congenital malformations and deformations of the musculoskeletal s,928.0,2019-20
Q80-Q89,Other congenital malformations,609.0,2019-20
Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",132.0,2019-20
R00-R09,Symptoms & signs inv. the circulatory/respiratory system,383390.0,2019-20
R10-R19,Symptoms & signs inv. the digestive system & abdomen,301530.0,2019-20
R20-R23,Symptoms & signs inv. the skin & subcutaneous tissue,33681.0,2019-20
R25-R29,Symptoms & signs inv. the nervous & musculoskeletal sys.,96777.0,2019-20
R30-R39,Symptoms & signs involving the urinary system,51229.0,2019-20
R40-R46,Symptoms & signs inv. Cognition perception etc.,80843.0,2019-20
R47-R49,Symptoms & signs inv. speech & voice,6360.0,2019-20
R50-R69,General symptoms & signs,279802.0,2019-20
R70-R79,"Abnormal findings on examination of blood, without diagnosis",9001.0,2019-20
R80-R82,"Abnormal findings on examination of urine, without diagnosis",453.0,2019-20
R83-R89,"Abnormal findings on examination of other body fluids, substances",144.0,2019-20
R90-R94,Abnormal findings on diagnostic imaging/function studies,10246.0,2019-20
R95-R99,Ill-defined & unknown causes of mortality,3.0,2019-20
S00-S09,Injuries to the head,160070.0,2019-20
S10-S19,Injuries to the neck,9209.0,2019-20
S20-S29,Injuries to the thorax,29354.0,2019-20
S30-S39,"Injuries to abdomen, lower back, lumbar spine & pelvis",40055.0,2019-20
S40-S49,Injuries to the shoulder & upper arm,36957.0,2019-20
S50-S59,Injuries to the elbow & forearm,50233.0,2019-20
S60-S69,Injuries to the wrist & hand,53676.0,2019-20
S70-S79,Injuries to the hip & thigh,83968.0,2019-20
S80-S89,Injuries to the knee & lower leg,64242.0,2019-20
S90-S99,Injuries to the ankle & foot,14321.0,2019-20
T00-T07,Injuries involving multiple body regions,4032.0,2019-20
T08-T14,Injuries to unspecified part of trunk limb or body,1405.0,2019-20
T15-T19,Effects of foreign body entering through natural orifice,14916.0,2019-20
T20-T32,Burns and corrosions,9941.0,2019-20
T33-T35,Frostbite,16.0,2019-20
T36-T50,Poisonings by drugs medicaments & biological substances,112607.0,2019-20
T51-T65,Tox. effcts. of substnces. chiefly non-medicinal as to source,5616.0,2019-20
T66-T78,Other and unspecified effects of external causes,16181.0,2019-20
T79-T79,Certain early complications of trauma,2998.0,2019-20
