code,description,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,baseline,2018-19_pct,2019-20_pct,2020-21_pct,2021-22_pct,2022-23_pct,2023-24_pct
H10-H13,Disorders of conjunctiva (including conjunctivitis),1749.0,2036.0,987.0,1545.0,1895.0,1875.0,1892.5,-7.582562747688243,7.582562747688243,-47.846763540290624,-18.361955085865258,0.13210039630118892,-0.9247027741083224
H15-H22,"Disorders of sclera, cornea, iris and ciliary body",,2160.0,1277.0,1680.0,1617.0,1830.0,2160.0,,0.0,-40.879629629629626,-22.22222222222222,-25.13888888888889,-15.277777777777779
H25-H28,Disorders of lens (including cataracts),515.0,612.0,414.0,480.0,359.0,445.0,563.5,-8.606921029281278,8.606921029281278,-26.53061224489796,-14.81810115350488,-36.29103815439219,-21.029281277728483
H30-H36,Disorders of choroid and retina,,8322.0,5802.0,6490.0,7136.0,7307.0,8322.0,,0.0,-30.28118240807498,-22.013938956981494,-14.251381879355923,-12.196587358807978
H40-H42,Glaucoma,991.0,1100.0,797.0,862.0,791.0,872.0,1045.5,-5.2128168340506935,5.2128168340506935,-23.768531802965086,-17.55141080822573,-24.342419894787184,-16.594930655188904
H43-H45,Disorders of vitreous body and globe,,1415.0,939.0,1186.0,1205.0,1360.0,1415.0,,0.0,-33.63957597173145,-16.18374558303887,-14.840989399293287,-3.8869257950530036
H46-H48,Disorders of optic nerve and visual pathways,,2228.0,2149.0,2757.0,2632.0,2787.0,2228.0,,0.0,-3.5457809694793534,23.74326750448833,18.13285457809695,25.089766606822263
H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and",,1396.0,,,,,1396.0,,0.0,,,,
H53-H54,Visual disturbances and blindness,,6410.0,5801.0,6249.0,5543.0,6635.0,6410.0,,0.0,-9.500780031201247,-2.5117004680187205,-13.525741029641186,3.5101404056162244
H55-H59,Other disorders of eye and adnexa,,2123.0,1660.0,2048.0,1978.0,2027.0,2123.0,,0.0,-21.80876118699953,-3.532736693358455,-6.82995760715968,-4.521902967498822
H60-H62,Diseases of external ear,,8697.0,6278.0,8096.0,9207.0,10551.0,8697.0,,0.0,-27.814188800735884,-6.910428883523053,5.864091065884788,21.31769575715764
H60-H95,Diseases of the ear and mastoid process,29714.0,,,,,,29714.0,0.0,,,,,
